id,title,type,isGenesis,buildCostMaterial,buildCostData,vpValue,activationEffectDescription,convergenceEffectDescription,C_IN,C_OUT,T_IN,T_OUT,K_IN,K_OUT,R_IN,R_OUT
NODE_CULT_001,Community Forum,CULTURE,,2,2,0,Owner draws 1 card. If 1+ Knowledge nodes activated this chain: Owner draws 1 card.,Activator draws 1 card. Owner draws 1 card.,Yes,Yes,No,No,Yes,No,No,No
NODE_CULT_002,Cultural Exchange,CULTURE,,1,1,1,If Owner pays 1 Data: Owner draws 2 cards.,Owner and activator gain 1 Data. If adjacent to 1+ Culture nodes: Activator gains 1 VP.,Yes,Yes,No,No,No,No,No,Yes
NODE_CULT_003,Synaptic Media Hub,CULTURE,,1,1,1,Owner gains 1 Data per Knowledge node in their network. If 2+ inputs connected: Owner draws 1 card.,Activator draws 1 card. If 3+ nodes activated this chain: Activator gains 1 VP.,Yes,Yes,Yes,Yes,Yes,No,No,No
NODE_CULT_004,Holographic Theater,CULTURE,,1,1,1,If Owner pays 1 Material: Owner gains 2 VP.,Activator gains 1 VP. If adjacent to 2+ empty cell(s): Activator gains 1 VP.,Yes,Yes,Yes,Yes,Yes,No,No,No
NODE_CULT_005,Applied Aesthetics Studio,CULTURE,,2,1,1,If adjacent to 1+ Technology nodes: Owner gains 1 Data. If adjacent to 2+ Technology nodes: Owner gains 2 VP.,If Activator pays 1 Energy: Activator gains 2 VP; Owner gains 1 VP.,Yes,Yes,Yes,Yes,No,No,No,No
NODE_CULT_006,Ethnographic Database,CULTURE,,1,1,1,Owner draws 2 cards. If 2+ nodes activated this chain: Owner discards 1 card.,Activator draws 1 card. If Activator pays 1 Data: Owner discards 1 card; Activator gains 1 VP.,Yes,Yes,No,No,Yes,Yes,No,No
NODE_CULT_007,Artisan Guild Workshop,CULTURE,,2,1,1,If Owner pays 2 Material: Owner gains 2 VP.,Activator gains 1 Material. If 2+ links attached: Owner and Activator gain 1 VP.,Yes,Yes,No,No,No,No,Yes,Yes
NODE_CULT_008,Historical Archive Access,CULTURE,,1,1,0,Owner draws 1 card. If adjacent to 1+ Knowledge nodes: Owner draws 1 card.,Activator draws 1 card. If Activator pays 1 Data: Activator draws 1 card; Owner draws 1 card.,Yes,Yes,No,No,No,No,No,No
NODE_CULT_009,Artisan Collective,CULTURE,,1,1,0,Owner gains 1 Material. If adjacent to 2+ Culture nodes: Owner gains 1 VP.,Activator gains 1 Material. If adjacent to 1+ Culture nodes: Activator gains 1 VP.,No,Yes,No,No,No,No,Yes,No
NODE_CULT_010,Smuggler's Den,CULTURE,,1,1,0,Activator steals 1 Material from the owner.,If Activator pays 1 Data: Activator steals 1 Material from the owner; Activator gains 1 VP.,Yes,No,No,No,No,No,No,Yes
NODE_CULT_011,Public Forum Interface,CULTURE,,1,2,0,Owner draws 1 card. If adjacent to 1+ Technology nodes: All players draw 1 card.,Activator draws 1 card. If 3+ nodes activated this chain: Owner and Activator gain 1 VP.,Yes,Yes,Yes,No,No,No,No,No
NODE_CULT_012,Propaganda Broadcaster,CULTURE,,1,1,0,If Owner pays 2 Data: Activator discards 2 cards; Owner gains 1 VP.,Activator gains 1 Data. If 1+ links attached: Owner discards 1 card.,No,Yes,Yes,No,Yes,No,No,No
NODE_CULT_013,Subterranean Market,CULTURE,,1,1,0,Owner gains 1 Material. If 1+ links attached: Unknown other effect.,If Activator pays 1 Energy: Activator gains 2 Material; Owner gains 1 Data.,Yes,Yes,No,No,No,No,Yes,No
NODE_CULT_014,Cultural Artifact Factory,CULTURE,,1,1,1,Owner gains 1 Material. If 2+ inputs connected: Owner gains 1 Material per Culture node in their network.,Activator gains 1 Material. If adjacent to 1+ Resource nodes: Activator gains 1 VP.,Yes,No,No,Yes,No,No,No,Yes
NODE_GENESIS_CULT_001,Nascent Meme,CULTURE,true,2,0,0,Owner gains 1 Data.,Activator gains 1 Data.,Yes,Yes,Yes,No,No,Yes,No,Yes
NODE_GENESIS_KNOW_001,Seed Thought,KNOWLEDGE,true,2,0,0,Owner gains 1 Data.,Activator gains 1 Data.,Yes,Yes,No,No,Yes,Yes,Yes,No
NODE_GENESIS_RES_001,First Spark,RESOURCE,true,2,0,0,Owner gains 1 Material.,Activator gains 1 Material.,No,No,Yes,Yes,Yes,No,Yes,Yes
NODE_GENESIS_TECH_001,Initial Circuit,TECHNOLOGY,true,2,0,0,Owner gains 1 Data.,Activator gains 1 Data.,Yes,Yes,No,Yes,No,Yes,No,Yes
NODE_KNOW_001,Data Relay,KNOWLEDGE,,1,1,0,Owner gains 1 Data.,Activator gains 1 Data. If 2+ nodes activated this chain: Activator draws 1 card.,No,No,No,No,Yes,Yes,Yes,No
NODE_KNOW_002,Materials Analysis Lab,KNOWLEDGE,,1,2,1,Owner gains 1 Data. If 2+ inputs connected: Owner draws 1 card.,Activator gains 1 Data. If adjacent to 1+ Resource nodes: Activator gains 1 Data per Knowledge node in the owner's network.,No,No,Yes,No,Yes,Yes,Yes,Yes
NODE_KNOW_003,Historical Archive,KNOWLEDGE,,2,0,1,Owner discards 1 card. If Owner pays 1 Data: Owner draws 2 cards.,Activator gains 2 Data. Owner gains 1 VP.,Yes,Yes,No,No,Yes,Yes,Yes,No
NODE_KNOW_004,AI Research Center,KNOWLEDGE,,1,2,1,Owner gains 2 Data. If 3+ inputs connected: Owner gains 1 VP.,Activator gains 1 Data. If Activator pays 1 Data: Activator steals 1 Data from the owner.,No,No,Yes,Yes,Yes,Yes,Yes,No
NODE_KNOW_005,Bio-Research Lab,KNOWLEDGE,,2,2,1,Owner gains 1 Data. If 1+ Knowledge nodes activated this chain: Owner gains 1 Data.,Activator gains 1 Data. Activator discards 1 card. If Activator pays 1 Data: Activator draws 2 cards.,No,No,Yes,No,Yes,Yes,Yes,Yes
NODE_KNOW_006,Historical Simulation Center,KNOWLEDGE,,1,1,1,Owner gains 1 VP. If Owner pays 2 Data: Owner draws 2 cards.,Activator gains 1 VP. If Activator pays 1 Data: Owner discards 1 card.,Yes,Yes,No,No,Yes,Yes,No,No
NODE_KNOW_007,Advanced Algorithm Design,KNOWLEDGE,,1,1,2,Owner gains 1 Data. If 2+ links attached: Owner gains 1 Data per Knowledge node in their network.,All players draw 1 card. If Activator pays 3 Data: Activator gains 2 VP.,No,No,Yes,Yes,Yes,Yes,No,No
NODE_KNOW_008,Resource Optimization AI,KNOWLEDGE,,1,2,1,Owner gains 1 Data. If 2+ Resource nodes activated this chain: Owner gains 2 Material.,Activator gains 1 Data. If 2+ inputs connected: Activator gains 1 Material per Resource node in the owner's network.,No,No,No,No,Yes,Yes,Yes,Yes
NODE_KNOW_009,Information Brokerage,KNOWLEDGE,,1,1,1,Owner draws 1 card. If Owner pays 2 Material: Owner steals 1 Data from each owner of nodes activated this chain.,If Activator pays 1 Material: Activator steals 1 Data from the owner. If Activator pays 2 Data: Activator draws 2 cards.,Yes,No,No,No,Yes,Yes,No,No
NODE_KNOW_010,Xeno-Linguistics Lab,KNOWLEDGE,,1,1,0,If Owner pays 1 Data: Owner draws 1 card. If 3+ nodes activated this chain: Activator discards 1 card.,Activator gains 1 Data. If 1+ links attached: Owner discards 1 card.,No,Yes,No,No,Yes,No,No,No
NODE_KNOW_011,Philosopher's Conclave,KNOWLEDGE,,1,1,0,Owner gains 1 Data. If adjacent to 2+ empty cell(s): Owner draws 2 cards.,Activator gains 1 Data. If Activator pays 1 Data: Activator draws 1 card.,Yes,No,No,No,No,Yes,No,No
NODE_KNOW_012,AI Ethics Committee,KNOWLEDGE,,1,1,0,Owner gains 1 Data. If adjacent to 1+ Technology nodes: Owner gains 1 Data per Technology node in their network.,Activator gains 1 Data. If Activator pays 1 Data: Activator draws 1 card.,No,No,No,Yes,Yes,No,No,No
NODE_KNOW_013,Deep Space Observatory,KNOWLEDGE,,1,1,0,Owner gains 1 Data. If adjacent to 1+ Knowledge nodes: Owner draws 1 card.,Activator gains 1 Data. If 1+ links attached: Activator gains 1 Data per Knowledge node in the owner's network.,No,No,Yes,No,No,Yes,Yes,No
NODE_KNOW_014,Quantum Entanglement Comms,KNOWLEDGE,,1,1,1,If Owner pays 2 Data: Owner gains 1 Energy.,Activator gains 1 Data. If 2+ nodes activated this chain: Owner draws 1 card; Activator draws 1 card.,No,No,No,No,Yes,Yes,No,No
NODE_KNOW_015,Memorial Database,KNOWLEDGE,,1,1,1,Owner discards 1 card. If adjacent to 1+ Culture nodes: Owner draws 2 cards.,Activator gains 1 Data. Owner draws 1 card. If 2+ links attached: Activator draws 1 card.,Yes,Yes,No,No,Yes,No,No,No
NODE_KNOW_016,Resource Cartographer,KNOWLEDGE,,1,1,0,Owner draws 1 card. If adjacent to 1+ Resource nodes: Owner gains 1 Data per Resource node in their network.,Activator gains 1 Data. If adjacent to 1+ Resource nodes: Activator gains 1 Material.,No,Yes,No,No,Yes,No,Yes,No
NODE_KNOW_017,Educational Network,KNOWLEDGE,,1,1,0,All players gain 1 Data. If 3+ links attached: Owner draws 2 cards.,Activator gains 1 Data. If Activator pays 1 Data: Activator draws 1 card; Owner draws 1 card.,Yes,No,No,Yes,No,Yes,No,No
NODE_KNOW_018,Centralized Knowledge Bank,KNOWLEDGE,,1,1,1,If Owner pays 3 Data: Owner gains 1 VP. If 3+ Knowledge nodes activated this chain: Owner draws 2 cards.,Activator gains 1 Data. Activator draws 1 card. If 3+ nodes activated this chain: Activator gains 2 Data.,No,No,No,No,Yes,Yes,Yes,No
NODE_KNOW_019,Geological Data Analysis,KNOWLEDGE,,1,1,0,If Owner pays 1 Data: Owner gains 1 Material. If 1+ Resource nodes activated this chain: Owner draws 1 card.,Activator gains 1 Data. If adjacent to 1+ Resource nodes: Owner gains 1 Material; Activator gains 1 Data.,No,No,No,No,Yes,Yes,No,Yes
NODE_KNOW_020,Logistics Coordination AI,KNOWLEDGE,,2,2,0,Owner gains 1 Data. If 3+ nodes activated this chain: Owner gains 1 Material per Resource node in their network.,Activator gains 1 Material. Owner gains 1 Data. If 2+ links attached: Owner draws 1 card.,No,No,No,No,Yes,No,Yes,Yes
NODE_RES_001,Materials Depot,RESOURCE,,7,0,0,Owner gains 2 Material. If adjacent to 1+ Technology nodes: Owner gains 2 Energy.,Owner and activator gain 1 Material.,No,No,Yes,No,No,No,Yes,Yes
NODE_RES_002,Automated Drill Site,RESOURCE,,2,1,1,Owner gains 1 Material. If Owner pays 1 Energy: Owner draws 1 card.,Activator gains 1 Material.,No,No,Yes,No,Yes,No,Yes,Yes
NODE_RES_003,Monument Construction Site,RESOURCE,,5,0,2,Owner gains 1 Material. If 2+ Culture nodes activated this chain: Owner gains 1 VP.,Activator gains 1 VP. Owner gains 1 Material.,No,Yes,Yes,No,Yes,No,Yes,Yes
NODE_RES_004,Reclamation Art Project,RESOURCE,,2,1,1,Owner gains 1 Material. If adjacent to 1+ Culture nodes: Owner draws 1 card.,Activator gains 1 VP. Owner gains 1 Material.,Yes,Yes,No,No,No,No,Yes,Yes
NODE_RES_005,Materials Science R&D,RESOURCE,,3,1,1,Owner gains 1 Data. If adjacent to 1+ Technology nodes: Owner gains 1 VP.,Activator gains 1 Data. Owner gains 1 Material.,No,No,Yes,Yes,No,No,Yes,Yes
NODE_RES_006,Geological Survey Outpost,RESOURCE,,3,2,1,Owner gains 1 Data. If adjacent to 1+ Knowledge nodes: Owner gains 1 Data.,Activator gains 1 Data. Owner gains 1 VP.,No,No,No,No,Yes,Yes,Yes,Yes
NODE_RES_007,Solar Collector Array,RESOURCE,,4,1,0,Owner gains 1 Energy. If adjacent to 2+ empty cell(s): Owner gains 1 Energy.,Owner gains 1 Material.,No,No,Yes,No,No,No,Yes,Yes
NODE_RES_008,Asteroid Mining Claim,RESOURCE,,1,0,0,Owner gains 1 Material. If adjacent to 1+ Resource nodes: Owner gains 1 Material.,If Activator pays 1 Energy: Activator gains 2 Material.,No,No,Yes,No,No,No,No,Yes
NODE_RES_009,Hydroponics Bay,RESOURCE,,2,1,0,Owner gains 1 Material. If adjacent to 1+ Culture nodes: Owner gains 1 VP.,Owner gains 1 Material.,No,No,No,Yes,No,No,Yes,No
NODE_RES_010,Automated Refinery,RESOURCE,,1,1,0,Owner gains 1 Material. If Owner pays 1 Energy: Owner gains 2 Material.,Activator gains 1 Material. Owner gains 1 Material.,No,No,No,No,No,No,Yes,Yes
NODE_RES_011,Prospector Drone Control,RESOURCE,,1,1,0,Owner gains 1 Material. If adjacent to 1+ Knowledge nodes: Owner draws 1 card.,If Activator pays 1 Data: Activator draws 1 card.,No,No,No,No,Yes,No,No,Yes
NODE_RES_012,Bio-Printer Feedstock,RESOURCE,,2,1,0,Owner gains 1 Material. If adjacent to 1+ Technology nodes: Owner gains 1 Data.,Activator gains 1 Material. If adjacent to 1+ Technology nodes: Owner gains 1 Data.,No,Yes,Yes,No,No,No,Yes,No
NODE_RES_013,Resource Distribution Hub,RESOURCE,,2,1,0,Owner gains 1 Material. If 1+ links attached: Owner gains 1 Energy.,Activator gains 1 Material.,Yes,No,No,No,No,Yes,No,Yes
NODE_TECH_001,Basic Processing Unit,TECHNOLOGY,,4,0,0,Owner gains 1 Data. If 2+ nodes activated this chain: Owner gains 1 Energy.,Activator gains 1 Data.,No,No,Yes,Yes,No,No,Yes,No
NODE_TECH_002,Advanced Processing Unit,TECHNOLOGY,,3,1,1,Owner gains 1 Data. If Owner pays 1 Energy: Owner gains 2 Data.,Owner and activator gain 1 Data.,No,No,Yes,Yes,No,Yes,No,No
NODE_TECH_003,Applied Arts Workshop,TECHNOLOGY,,2,1,1,Owner gains 1 Material. If 2+ inputs connected: Owner gains 1 Data per Culture node in their network.,Activator gains 1 Data. Owner gains 1 Material.,Yes,Yes,No,Yes,No,Yes,Yes,No
NODE_TECH_004,Automated Fabricator,TECHNOLOGY,,3,1,1,Owner gains 1 Material. If adjacent to 2+ empty cell(s): Owner gains 2 Material.,Activator gains 1 Material. If 2+ links attached: Owner gains 1 Energy.,No,No,Yes,Yes,Yes,No,Yes,Yes
NODE_TECH_005,Geothermal Tap,TECHNOLOGY,,2,1,1,Owner gains 1 Energy. If adjacent to 1+ Resource nodes: Owner gains 1 Energy per Resource node in their network.,Activator gains 1 Energy. If 3+ nodes activated this chain: Owner gains 1 VP.,No,No,Yes,No,No,No,Yes,Yes
NODE_TECH_006,Digital Art Synthesizer,TECHNOLOGY,,1,2,0,Owner draws 1 card. If adjacent to 1+ Culture nodes: Owner gains 1 VP.,If 1+ Culture nodes activated this chain: Activator draws 2 cards. If 0+ Culture nodes activated this chain: Activator draws 1 card.,Yes,Yes,Yes,Yes,No,No,No,No
NODE_TECH_007,Quantum Simulation Lab,TECHNOLOGY,,1,1,1,If Owner pays 2 Data: Owner draws 2 cards.,Activator gains 1 Data. If 1+ inputs connected: Owner gains 1 VP.,No,No,Yes,Yes,Yes,Yes,No,No
NODE_TECH_008,Fusion Reactor Prototype,TECHNOLOGY,,2,2,2,Owner gains 2 Energy. If adjacent to 2+ Technology nodes: Owner gains 1 Energy per Technology node in their network.,Activator gains 1 Energy. If Activator pays 1 Energy: Owner and Activator gain 1 VP.,No,No,Yes,Yes,No,No,Yes,Yes
NODE_TECH_009,Network Hub,TECHNOLOGY,,2,2,1,If 1+ inputs connected: Owner gains 1 Data. If 3+ inputs connected: Owner gains 2 VP.,Activator gains 1 Data. If 1+ links attached: Activator gains 1 Data.,Yes,No,Yes,Yes,Yes,No,Yes,No
NODE_TECH_010,Sabotage Drone Bay,TECHNOLOGY,,1,1,0,If Owner pays 1 Energy: Owner steals 1 Material from each owner of nodes activated this chain.,Activator gains 1 Data. Activator steals 1 Energy from the owner. If 1+ links attached: Owner discards 1 card.,No,No,Yes,Yes,No,No,No,Yes
NODE_TECH_011,Orbital Comm Relay,TECHNOLOGY,,1,1,0,Owner gains 1 Data. If adjacent to 1+ Technology nodes: Owner gains 1 Data per Technology node in their network.,Activator gains 1 Data. If 3+ nodes activated this chain: Activator draws 1 card.,No,Yes,Yes,No,No,No,No,No
NODE_TECH_012,High-Frequency Trading Hub,TECHNOLOGY,,1,1,0,Owner gains 1 Data. If Owner pays 2 Data: Activator discards 1 card.,Activator gains 1 Data. If Activator pays 1 Data: Owner discards 1 card.,No,No,Yes,Yes,No,No,No,No
NODE_TECH_013,Planetary Defense Sensor,TECHNOLOGY,,1,1,0,Owner gains 1 Data. If adjacent to 3+ empty cell(s): Owner gains 1 VP.,If Activator pays 1 Data: Activator steals 1 Data from the owner.,No,No,Yes,No,No,Yes,No,No
NODE_TECH_014,Tunnel Bore Control,TECHNOLOGY,,2,1,0,Owner gains 1 Material. If adjacent to 2+ empty cell(s): Owner gains 2 Material.,Activator gains 1 Material. If 1+ Resource nodes activated this chain: Activator gains 1 Material.,Yes,No,No,Yes,No,No,No,No
NODE_TECH_015,Predictive Algorithm,TECHNOLOGY,,1,2,1,Owner gains 1 Data. If Owner pays 1 Data: Owner draws 2 cards.,Activator gains 1 Data. If 4+ nodes activated this chain: Owner and Activator gain 1 VP.,No,No,Yes,Yes,No,Yes,No,No
NODE_TECH_016,Automated Assembly Line,TECHNOLOGY,,2,1,0,Owner gains 1 Material. If 1+ Technology nodes activated this chain: Owner gains 2 Material.,Activator gains 1 Material. If 2+ links attached: Owner gains 2 Material.,No,No,Yes,Yes,No,No,No,Yes
NODE_TECH_017,Resource Scanner Drone,TECHNOLOGY,,1,1,0,If Owner pays 1 Data: Owner gains 1 Material per Resource node in their network.,Activator gains 1 Data. If adjacent to 1+ Resource nodes: Activator gains 1 Material per Resource node in the owner's network.,No,No,Yes,No,No,Yes,No,Yes
NODE_TECH_018,Experimental Fusion Injector,TECHNOLOGY,,1,1,1,If Owner pays 1 Material: Owner gains 2 Energy. If 2+ inputs connected: Owner gains 1 Energy.,Activator gains 1 Data. If Activator pays 1 Energy: Activator gains 2 VP.,No,No,No,Yes,Yes,No,Yes,No
REACTOR_BASE,Reactor Core,REACTOR,,0,0,0,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
